x_m,y_m,attenuation_score,normalized
0.0,0.0,0.2790271493212799,0.5940258649063213
0.05,0.0,0.2790271493212799,0.5940258649063213
0.1,0.0,0.2582758331711667,0.5498480185784642
0.15000000000000002,0.0,0.23077872555032053,0.49130893671267806
0.2,0.0,0.22078278174533775,0.47002839401726865
0.25,0.0,0.21538877714677054,0.4585450016134593
0.30000000000000004,0.0,0.2116036754790365,0.45048683129776307
0.35000000000000003,0.0,0.20804209764029716,0.44290452484036424
0.4,0.0,0.2038008706967484,0.4338753013059023
0.45,0.0,0.19816160835857152,0.42186977533462117
0.5,0.0,0.19012578460663496,0.4047621671105105
0.55,0.0,0.17768382277381448,0.3782742530962273
0.6000000000000001,0.0,0.1557714680441113,0.3316246510696572
0.65,0.0,0.1423821339950421,0.3031198594808647
0.7000000000000001,0.0,0.1423821339950421,0.3031198594808647
0.75,0.0,0.1423821339950421,0.3031198594808647
0.8,0.0,0.1423821339950421,0.3031198594808647
0.8500000000000001,0.0,0.1423821339950421,0.3031198594808647
0.9,0.0,0.1423821339950421,0.3031198594808647
0.9500000000000001,0.0,0.1423821339950421,0.3031198594808647
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.46972222222223087,1.0
1.4000000000000001,0.0,0.4697222222222308,0.9999999999999999
1.4500000000000002,0.0,0.4697222222222308,0.9999999999999999
1.5,0.0,0.46972222222223076,0.9999999999999998
1.55,0.0,0.4697222222222308,0.9999999999999999
1.6,0.0,0.4697222222222308,0.9999999999999999
1.6500000000000001,0.0,0.4697222222222308,0.9999999999999999
1.7000000000000002,0.0,0.4697222222222308,0.9999999999999999
1.75,0.0,0.46972222222223076,0.9999999999999998
1.8,0.0,0.4697222222222308,0.9999999999999999
1.85,0.0,0.4697222222222308,0.9999999999999999
1.9000000000000001,0.0,0.4697222222222308,0.9999999999999999
1.9500000000000002,0.0,0.46972222222223087,1.0
2.0,0.0,0.4697222222222308,0.9999999999999999
2.0500000000000003,0.0,0.46972222222223076,0.9999999999999998
2.1,0.0,0.4697222222222308,0.9999999999999999
2.15,0.0,0.4697222222222308,0.9999999999999999
2.2,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.5500000000000003,0.0,0.0,0.0
2.6,0.0,0.0,0.0
2.6500000000000004,0.0,0.0,0.0
2.7,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0
2.85,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0500000000000003,0.0,0.0,0.0
0.0,0.05,0.2790271493212799,0.5940258649063213
0.05,0.05,0.2776893923298877,0.5911778902351138
0.1,0.05,0.23926340014247316,0.5093721114801227
0.15000000000000002,0.05,0.22634352229318905,0.4818667535514285
0.2,0.05,0.21978836387842726,0.4679113601196473
0.25,0.05,0.21575985096785974,0.459334987276334
0.30000000000000004,0.05,0.21288691803953305,0.4532187492266735
0.35000000000000003,0.05,0.21018319554129175,0.44746274627358745
0.4,0.05,0.2069261798432771,0.44052882757881956
0.45,0.05,0.20275033318067717,0.4316387932882462
0.5,0.05,0.19718206517636833,0.4197844084180443
0.55,0.05,0.18936976840436837,0.40315267076032735
0.6000000000000001,0.05,0.1775863535565524,0.37806674914463445
0.65,0.05,0.1577131100563993,0.3357582473110745
0.7000000000000001,0.05,0.1423821339950421,0.3031198594808647
0.75,0.05,0.14238213399504213,0.30311985948086473
0.8,0.05,0.1423821339950421,0.3031198594808647
0.8500000000000001,0.05,0.1423821339950421,0.3031198594808647
0.9,0.05,0.1423821339950421,0.3031198594808647
0.9500000000000001,0.05,0.1423821339950421,0.3031198594808647
1.0,0.05,0.1423821339950421,0.3031198594808647
1.05,0.05,0.0,0.0
1.1,0.05,0.0,0.0
1.1500000000000001,0.05,0.0,0.0
1.2000000000000002,0.05,0.0,0.0
1.25,0.05,0.4697222222222308,0.9999999999999999
1.3,0.05,0.46972222222223076,0.9999999999999998
1.35,0.05,0.4697222222222308,0.9999999999999999
