x_m,y_m,attenuation_score,normalized
0.0,0.0,0.7019117647058977,0.24351822448098512
0.05,0.0,0.7019117647058977,0.24351822448098512
0.1,0.0,0.8873215071128335,0.30784347666041256
0.15000000000000002,0.0,1.3368731755350822,0.4638089834538774
0.2,0.0,1.4650535346224327,0.5082793215046515
0.25,0.0,1.5308150133020888,0.5310943238062926
0.30000000000000004,0.0,1.5788195145450776,0.5477487973421308
0.35000000000000003,0.0,1.6266757965133734,0.5643518483254175
0.4,0.0,1.682146782756858,0.5835967117960882
0.45,0.0,1.7479374311157778,0.6064218340997868
0.5,0.0,1.826113710413353,0.633543973502952
0.55,0.0,1.9196546649522679,0.6659966667201935
0.6000000000000001,0.0,2.0329948011957066,0.7053184021978711
0.65,0.0,2.082307692307694,0.7224268028422839
0.7000000000000001,0.0,2.082307692307694,0.7224268028422839
0.75,0.0,2.082307692307694,0.7224268028422839
0.8,0.0,2.082307692307694,0.7224268028422839
0.8500000000000001,0.0,2.082307692307694,0.7224268028422839
0.9,0.0,2.082307692307694,0.7224268028422839
0.9500000000000001,0.0,2.082307692307694,0.7224268028422839
1.0,0.0,2.082307692307694,0.7224268028422839
1.05,0.0,2.082307692307694,0.7224268028422839
1.1,0.0,2.082307692307694,0.7224268028422839
1.1500000000000001,0.0,2.082307692307694,0.7224268028422839
1.2000000000000002,0.0,2.082307692307694,0.7224268028422839
1.25,0.0,2.082307692307694,0.7224268028422839
1.3,0.0,2.082307692307694,0.7224268028422839
1.35,0.0,2.082307692307694,0.7224268028422839
1.4000000000000001,0.0,2.082307692307694,0.7224268028422839
1.4500000000000002,0.0,2.082307692307694,0.7224268028422839
1.5,0.0,2.082307692307694,0.7224268028422839
1.55,0.0,2.082307692307694,0.7224268028422839
1.6,0.0,2.082307692307694,0.7224268028422839
1.6500000000000001,0.0,2.082307692307694,0.7224268028422839
1.7000000000000002,0.0,2.082307692307694,0.7224268028422839
1.75,0.0,2.082307692307694,0.7224268028422839
1.8,0.0,2.082307692307694,0.7224268028422839
1.85,0.0,2.082307692307694,0.7224268028422839
1.9000000000000001,0.0,2.082307692307694,0.7224268028422839
1.9500000000000002,0.0,2.082307692307694,0.7224268028422839
2.0,0.0,2.082307692307694,0.7224268028422839
2.0500000000000003,0.0,2.082307692307694,0.7224268028422839
2.1,0.0,2.082307692307694,0.7224268028422839
2.15,0.0,0.0,0.0
2.2,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.5500000000000003,0.0,0.0,0.0
2.6,0.0,0.0,0.0
2.6500000000000004,0.0,0.0,0.0
2.7,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0
2.85,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0500000000000003,0.0,0.0,0.0
0.0,0.05,0.7019117647058977,0.24351822448098512
0.05,0.05,0.7019117647058977,0.24351822448098512
0.1,0.05,0.9639457444442734,0.3344271573527859
0.15000000000000002,0.05,1.2790035432904356,0.4437319441389877
0.2,0.05,1.4016597884124045,0.4862857700406258
0.25,0.05,1.468535915122941,0.5094874834975001
0.30000000000000004,0.05,1.5142331623205632,0.5253414883180295
0.35000000000000003,0.05,1.5577741472483588,0.5404474088552254
0.4,0.05,1.6077384067418499,0.5577817924218837
0.45,0.05,1.665582888057246,0.5778501059824221
0.5,0.05,1.7328580887392637,0.6011902724327612
0.55,0.05,1.8118529683685902,0.6285964134859504
0.6000000000000001,0.05,1.9057847846555829,0.6611847105834735
