x_m,y_m,attenuation_score,normalized
0.0,0.0,0.4248663101604393,0.9999999999999999
0.05,0.0,0.4248663101604393,0.9999999999999999
0.1,0.0,0.42486631016043935,1.0
0.15000000000000002,0.0,0.4248663101604393,0.9999999999999999
0.2,0.0,0.4248663101604393,0.9999999999999999
0.25,0.0,0.4248663101604393,0.9999999999999999
0.30000000000000004,0.0,0.4248663101604393,0.9999999999999999
0.35000000000000003,0.0,0.4248663101604393,0.9999999999999999
0.4,0.0,0.4248663101604393,0.9999999999999999
0.45,0.0,0.4248663101604393,0.9999999999999999
0.5,0.0,0.42486631016043935,1.0
0.55,0.0,0.42486631016043935,1.0
0.6000000000000001,0.0,0.4248663101604393,0.9999999999999999
0.65,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.2483333333333348,0.5844975875812756
1.4000000000000001,0.0,0.2483333333333348,0.5844975875812756
1.4500000000000002,0.0,0.2483333333333348,0.5844975875812756
1.5,0.0,0.2483333333333348,0.5844975875812756
1.55,0.0,0.24833333333333482,0.5844975875812757
1.6,0.0,0.2483333333333348,0.5844975875812756
1.6500000000000001,0.0,0.24833333333333477,0.5844975875812755
1.7000000000000002,0.0,0.2483333333333348,0.5844975875812756
1.75,0.0,0.2483333333333348,0.5844975875812756
1.8,0.0,0.24833333333333482,0.5844975875812757
1.85,0.0,0.24833333333333477,0.5844975875812755
1.9000000000000001,0.0,0.2483333333333348,0.5844975875812756
1.9500000000000002,0.0,0.24833333333333477,0.5844975875812755
2.0,0.0,0.2483333333333348,0.5844975875812756
2.0500000000000003,0.0,0.24833333333333482,0.5844975875812757
2.1,0.0,0.2483333333333348,0.5844975875812756
2.15,0.0,0.2483333333333348,0.5844975875812756
2.2,0.0,0.0,0.0
2.25,0.0,0.0,0.0
