timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15T01:01:01.311+00:00,A,D,A-D,2.83,-80.05,54.95,-67
2026-07-15T01:01:01.560+00:00,A,D,A-D,2.85,-80.18,54.95,-68
2026-07-15T01:01:01.707+00:00,A,D,A-D,2.8,-80.18,54.95,-67
2026-07-15T01:01:06.774+00:00,A,B,A-B,2.14,-80.91,-92.45,-66
2026-07-15T01:01:07.036+00:00,A,B,A-B,2.15,-86.73,-92.01,-65
2026-07-15T01:01:07.191+00:00,C,D,C-D,2.17,-88.3,54.91,-63
2026-07-15T01:01:08.602+00:00,A,B,A-B,2.14,-80.53,-92.01,-65
2026-07-15T01:01:08.741+00:00,A,B,A-B,2.16,-80.34,-92.01,-66
2026-07-15T01:01:09.118+00:00,A,B,A-B,2.12,-80.17,-92.01,-64
2026-07-15T01:01:09.271+00:00,A,B,A-B,2.16,-80.81,-92.01,-65
2026-07-15T01:01:09.439+00:00,A,B,A-B,2.13,-80.31,-92.01,-64
2026-07-15T01:01:09.618+00:00,A,B,A-B,2.13,-80.33,-92.01,-65
2026-07-15T01:01:09.768+00:00,A,B,A-B,2.12,-80.77,-92.01,-65
2026-07-15T01:01:14.746+00:00,B,D,B-D,3.43,-78.91,54.91,-67
2026-07-15T01:01:14.773+00:00,C,D,C-D,3.43,-78.91,0.0,-61
2026-07-15T01:01:14.935+00:00,C,D,C-D,2.14,-80.17,0.0,-62
2026-07-15T01:01:15.180+00:00,C,D,C-D,2.16,-80.1,0.0,-61
2026-07-15T01:01:22.317+00:00,B,D,B-D,3.44,-79.03,54.91,-65
2026-07-15T01:01:22.595+00:00,B,D,B-D,3.43,-84.81,54.91,-66
2026-07-15T01:01:22.733+00:00,B,D,B-D,3.41,-79.22,54.91,-66
2026-07-15T01:01:22.982+00:00,B,D,B-D,3.43,-83.4,54.91,-65
2026-07-15T01:01:23.573+00:00,B,D,B-D,3.4,-79.66,54.91,-65
2026-07-15T01:01:24.625+00:00,A,C,A-C,3.44,-80.51,54.95,-63
2026-07-15T01:01:24.797+00:00,A,C,A-C,3.42,-80.43,54.95,-63
2026-07-15T01:01:25.142+00:00,A,C,A-C,3.41,-80.37,54.95,-64
2026-07-15T01:01:25.284+00:00,A,C,A-C,3.42,-80.97,54.95,-64
2026-07-15T01:01:25.410+00:00,A,C,A-C,3.42,-80.21,54.95,-66
2026-07-15T01:01:25.552+00:00,A,C,A-C,3.42,-80.51,54.95,-65
2026-07-15T01:01:38.007+00:00,C,D,C-D,2.18,-79.69,54.91,-63
2026-07-15T01:01:38.154+00:00,C,D,C-D,2.2,-86.05,54.91,-62
2026-07-15T01:01:38.309+00:00,C,D,C-D,2.14,-79.6,54.91,-62
2026-07-15T01:01:39.179+00:00,A,B,A-B,2.15,-80.68,-92.56,-66
2026-07-15T01:01:39.367+00:00,A,B,A-B,2.13,-80.96,-92.18,-65
2026-07-15T01:01:39.544+00:00,A,B,A-B,2.13,-81.31,-92.02,-65
2026-07-15T01:01:39.672+00:00,A,B,A-B,2.15,-80.7,-91.49,-65
2026-07-15T01:01:40.591+00:00,A,B,A-B,2.1,-80.96,-91.49,-66
2026-07-15T01:01:40.726+00:00,A,B,A-B,2.12,-80.23,-91.49,-65
2026-07-15T01:01:40.880+00:00,A,B,A-B,2.13,-80.35,-91.49,-65
2026-07-15T01:01:41.212+00:00,A,B,A-B,2.15,-80.67,-91.49,-66
2026-07-15T01:01:41.363+00:00,A,B,A-B,2.14,-80.3,-91.49,-65
2026-07-15T01:01:41.536+00:00,A,B,A-B,2.12,-80.55,-91.49,-66
2026-07-15T01:01:41.800+00:00,A,B,A-B,2.12,-80.48,-91.49,-65
2026-07-15T01:01:45.953+00:00,B,C,B-C,2.87,-79.7,-92.15,-68
2026-07-15T01:01:46.077+00:00,B,C,B-C,2.88,-79.82,-91.2,-67
2026-07-15T01:01:47.380+00:00,B,C,B-C,2.88,-80.01,-91.2,-66
2026-07-15T01:01:49.820+00:00,A,C,A-C,3.42,-80.43,54.95,-65
2026-07-15T01:01:56.643+00:00,A,C,A-C,3.41,-80.4,54.95,-64
2026-07-15T01:01:56.840+00:00,A,C,A-C,3.42,-80.72,54.95,-65
2026-07-15T01:01:57.199+00:00,A,C,A-C,3.4,-80.68,54.95,-64
2026-07-15T01:01:57.455+00:00,A,C,A-C,3.45,-80.09,54.95,-65
2026-07-15T01:01:57.617+00:00,A,C,A-C,3.38,-80.47,54.95,-65
2026-07-15T01:01:57.802+00:00,A,C,A-C,3.41,-80.41,54.95,-66
2026-07-15T01:02:02.131+00:00,C,D,C-D,2.17,-80.08,54.91,-62
2026-07-15T01:02:02.271+00:00,C,D,C-D,2.14,-79.41,54.91,-63
2026-07-15T01:02:02.417+00:00,C,D,C-D,2.13,-79.52,54.91,-63
2026-07-15T01:02:02.569+00:00,C,D,C-D,2.18,-79.94,54.91,-63
2026-07-15T01:02:03.027+00:00,C,D,C-D,2.18,-79.84,54.91,-64
2026-07-15T01:02:03.191+00:00,C,D,C-D,2.17,-79.65,54.91,-62
2026-07-15T01:02:11.336+00:00,B,D,B-D,3.45,-79.22,54.91,-63
2026-07-15T01:02:11.589+00:00,B,D,B-D,3.39,-76.19,54.91,-62
2026-07-15T01:02:12.931+00:00,A,B,A-B,2.14,-80.55,54.95,-65
2026-07-15T01:02:13.261+00:00,A,B,A-B,2.14,-80.78,54.95,-66
2026-07-15T01:02:13.432+00:00,A,B,A-B,2.1,-80.89,54.95,-66
2026-07-15T01:02:13.610+00:00,A,B,A-B,2.12,-80.31,54.95,-66
2026-07-15T01:02:13.757+00:00,A,B,A-B,2.14,-80.33,54.95,-64
2026-07-15T01:02:13.895+00:00,A,B,A-B,2.11,-80.47,54.95,-65
2026-07-15T01:02:27.601+00:00,A,B,A-B,2.12,-80.75,-91.8,-64
2026-07-15T01:02:28.380+00:00,A,B,A-B,2.15,-80.63,-91.8,-66
2026-07-15T01:02:28.726+00:00,A,B,A-B,2.16,-81.05,-91.8,-64
