link,samples,range_mean,range_std,rx_mean,rx_std,fp_mean
A-B,60,2.680333333333333,4.2287578681386595,-81.16216666666666,1.909883385974817,-77.13266666666667
A-C,17,3.4194117647058824,0.015996323106926162,-80.46058823529411,0.20116754796174371,51.71764705882353
A-D,12,2.8200000000000003,0.019999999999999938,-79.98916666666666,1.270815474290808,41.2125
B-C,13,2.8861538461538463,0.013867504905630856,-79.99923076923076,0.22366125944016046,-39.54153846153846
B-D,21,3.318095238095238,0.38095431547127867,-81.12238095238095,3.246371674287938,47.06571428571428
C-D,26,2.3596153846153847,0.47682685133478614,-81.19769230769231,2.9745081041305776,33.79076923076923
