trial,file,trimmed_samples,trimmed_duration_s,strongest_links
standing_20cm_in_front_of boardD,standing_20cm_in_front_of boardD.csv,43,72.358,"A-B:2.88dB, C-D:1.71dB, A-C:0.70dB"
standing_20cm_in_front_of_board_B,standing_20cm_in_front_of_board_B.csv,43,45.768,"A-C:0.42dB, A-D:0.25dB, A-B:-0.53dB"
standing_in_front_of_board_C_20cm,standing_in_front_of_board_C_20cm.csv,115,124.374,"A-D:0.12dB, A-C:0.02dB, B-C:-0.11dB"
standing_in_front_of_boardA_20cm,standing_in_front_of_boardA_20cm.csv,56,79.142,"A-C:0.88dB, A-D:0.47dB, B-C:0.31dB"
walking_between_A_and_C_continusoly_back_and_froth,walking_between_A_and_C_continusoly_back_and_froth.csv,104,135.421,"A-D:0.50dB, A-C:0.28dB, B-C:0.14dB"
